Mic_1,Mic_2,Mic_3,Mic_4,Mic_5,Mic_6,Mic_7,Mic_8,Mic_9,Mic_10,Mic_11,Mic_12,Mic_13,Mic_14,Mic_15,Mic_16,Mic_17,Mic_18,Mic_19,Mic_20,Mic_21,Mic_22,Mic_23,Mic_24,Mic_25
2.8106752056972075,3.2385860941497047,3.908836152227648,4.717056412154389,4.213485197868629,3.9098377104771034,3.8608061989368023,3.928362326327657,4.231662442872333,3.3070712014597805,2.4754842281577227,1.8704693716365521,1.779519217882976,2.2387823701712146,3.021793632145094,3.663555774978926,3.3822005352623075,3.274877353264369,3.5026554450535157,3.8476313192961777,4.199537618406322,3.671475334437894,3.0610457915865354,2.747752695354122,1.2307848727535775
2.7757354950287048,3.1502342970374837,3.7876797803333706,4.5770804653354356,4.055494385177132,3.7380340095055646,3.686195650018763,3.7557431493580933,4.071084990809852,3.157569609898608,2.351638968761202,1.8107944009360226,1.8207728453014806,2.350460884538871,3.164916197792803,3.8172333334407593,3.55439099171901,3.450151232970411,3.6712646016414086,4.003158177964025,4.336278144327259,3.7934292422742315,3.147371972830388,2.7782542314749112,1.1859987006498993
2.7313938670390616,3.0724863932659168,3.6910408325337993,4.4708002603402,3.9418281330469496,3.6216572650943104,3.5710788477446425,3.6498731988715445,3.9800825826229533,3.0782065381698156,2.296597944181958,1.8079840199757293,1.8825536836479322,2.4475288714654626,3.2747008823844963,3.930392744740225,3.6711019872667388,3.5625665502960358,3.7733763568123706,4.092325883311689,4.409112486056507,3.854873850847444,3.1835645810540107,2.776590261948385,1.1430243941303264
2.665141009064503,2.949358028069593,3.535471045865057,4.298973650263137,3.7582139430450683,3.434492940750288,3.386636962836194,3.4827036385708676,3.839195478117644,2.958869359569929,2.221919406343884,1.8233666652121177,1.9956382992041317,2.6092036468472446,3.453727731198185,4.114088983191802,3.858786827289343,3.743038409843981,3.937604519340986,4.236078445894547,4.527281312455827,3.9558982503095503,3.245978713929769,2.7801046177318867,1.1096030532146888
2.6134796688160193,2.863979281788625,3.4322196659283755,4.187956724642279,3.643441210982783,3.3226282177001822,3.2789283590167826,3.391674970615712,3.7689308366958514,2.905540504967585,2.201629534811497,1.8612772496869157,2.0845343547767423,2.718857180156415,3.5689226129092924,4.229918030541029,3.971987713960013,3.8484777953594183,4.030088415190874,4.313907301668812,4.587409580616003,4.005145894799151,3.2718134866346356,2.7703680137782216,1.0819954967215388
2.523347172711252,2.7064464779088966,3.23869874111543,3.97934752722135,3.4284213493598292,3.115201331281346,3.0807505968391324,3.228798779654296,3.6478084646607027,2.820503300719549,2.184847863250498,1.953368780230059,2.260479353762442,2.9268704362867637,3.7853250942630368,4.447126144135229,4.1831915172225935,4.045367505101689,4.203434845343826,4.460348767361076,4.701539195395043,4.1003613402617916,3.3256290390031578,2.760053879676821,1.0775973418244265
2.4886526921251946,2.6374796598025507,3.1506147653855714,3.8831022322982407,3.3288782768915985,3.0194041895545185,2.9896217762217985,3.1552821606083628,3.5944495210148357,2.785998789364234,2.1849937281099407,2.0040486537669637,2.3461793726228137,3.0256580726519946,3.8874173880025005,4.549348916028246,4.283203829944751,4.139327477527065,4.287118902896277,4.532166346211289,4.758555279812558,4.149238995178053,3.3570113606065406,2.762953972158852,1.0768476228006356
2.436264964754655,2.5127993028668643,2.983454432686948,3.69735351967631,3.1352688419807957,2.8325542990311057,2.8122046222018056,3.013676854041322,3.492941022018694,2.7245758257685906,2.195164528351439,2.1106975531122405,2.5152671854766444,3.2183038551078114,4.086642590013397,4.749223490071298,4.480005856821551,4.325841805054387,4.455457417693609,4.678884566223706,4.877985227472158,4.254267439180875,3.4305874952354736,2.7840922307960634,1.1151445281656545
2.4307192133693185,2.47773479472343,2.9288759316595776,3.633203284140891,3.0661469345118086,2.7634147375722957,2.745632868208086,2.9586470326601244,3.451529855006264,2.698587152484492,2.196684079927507,2.147997162729727,2.575502762450889,3.2880600934242006,4.159665941160463,4.822913276958561,4.554791879173137,4.398533463441373,4.523222766928284,4.740234616752357,4.93047197633212,4.302286593420708,3.4689433416742563,2.80506644203683,1.1331273035788871
2.4439675644292516,2.4187362264042456,2.817224424493592,3.493711002174371,2.9106194721674368,2.602127672751137,2.5882257675893054,2.8244488252073623,3.346731593737277,2.630628835535764,2.1945157704881613,2.2288347476368116,2.709248218321136,3.445207834338627,4.326138469129051,4.992023266082025,4.730115029920124,4.572038439214859,4.68873130831233,4.893863991844302,5.066496199742012,4.429597021318898,3.577034013949161,2.8771331136588465,1.2026633069501416
