Time,,X1,Y1,Z1,X2,Y2,Z2
4.222,2.436,1.1177986,1.166483,5.7158132,1.1076372,1.1636932,5.7250652
4.223,2.437,1.1202597,1.1667795,5.7139929,1.1099824,1.1641119,5.7231474
4.224,2.438,1.1227208,1.167076,5.7121726,1.1123276,1.1645306,5.7212296
4.225,2.439,1.1251819,1.1673725,5.7103523,1.1146728,1.1649493,5.7193118
4.226,2.44,1.127643,1.167669,5.708532,1.117018,1.165368,5.717394
4.227,2.441,1.1301487,1.1676161,5.7066123,1.119526,1.1655068,5.715515
4.228,2.442,1.1326544,1.1675632,5.7046926,1.122034,1.1656456,5.713636
4.229,2.443,1.1351601,1.1675103,5.7027729,1.124542,1.1657844,5.711757
4.23,2.444,1.1376658,1.1674574,5.7008532,1.12705,1.1659232,5.709878
4.231,2.445,1.1401715,1.1674045,5.6989335,1.129558,1.166062,5.707999
4.232,2.446,1.1426772,1.1673516,5.6970138,1.132066,1.1662008,5.70612
4.233,2.447,1.1451829,1.1672987,5.6950941,1.134574,1.1663396,5.704241
4.234,2.448,1.1476886,1.1672458,5.6931744,1.137082,1.1664784,5.702362
4.235,2.449,1.1501943,1.1671929,5.6912547,1.13959,1.1666172,5.700483
4.236,2.45,1.1527,1.16714,5.689335,1.142098,1.166756,5.698604
4.237,2.451,1.1555182,1.1668932,5.6874851,1.1446771,1.1666282,5.6967049
4.238,2.452,1.1583364,1.1666464,5.6856352,1.1472562,1.1665004,5.6948058
4.239,2.453,1.1611546,1.1663996,5.6837853,1.1498353,1.1663726,5.6929067
4.24,2.454,1.1639728,1.1661528,5.6819354,1.1524144,1.1662448,5.6910076
4.241,2.455,1.166791,1.165906,5.6800855,1.1549935,1.166117,5.6891085
4.242,2.456,1.1696092,1.1656592,5.6782356,1.1575726,1.1659892,5.6872094
4.243,2.457,1.1724274,1.1654124,5.6763857,1.1601517,1.1658614,5.6853103
4.244,2.458,1.1752456,1.1651656,5.6745358,1.1627308,1.1657336,5.6834112
4.245,2.459,1.1780638,1.1649188,5.6726859,1.1653099,1.1656058,5.6815121
4.246,2.46,1.180882,1.164672,5.670836,1.167889,1.165478,5.679613
4.247,2.461,1.1832118,1.1642769,5.6689873,1.1704015,1.1653292,5.6776936
4.248,2.462,1.1855416,1.1638818,5.6671386,1.172914,1.1651804,5.6757742
4.249,2.463,1.1878714,1.1634867,5.6652899,1.1754265,1.1650316,5.6738548
4.25,2.464,1.1902012,1.1630916,5.6634412,1.177939,1.1648828,5.6719354
4.251,2.465,1.192531,1.1626965,5.6615925,1.1804515,1.164734,5.670016
4.252,2.466,1.1948608,1.1623014,5.6597438,1.182964,1.1645852,5.6680966
4.253,2.467,1.1971906,1.1619063,5.6578951,1.1854765,1.1644364,5.6661772
4.254,2.468,1.1995204,1.1615112,5.6560464,1.187989,1.1642876,5.6642578
4.255,2.469,1.2018502,1.1611161,5.6541977,1.1905015,1.1641388,5.6623384
4.256,2.47,1.20418,1.160721,5.652349,1.193014,1.16399,5.660419
4.257,2.471,1.2064884,1.1606897,5.6505018,1.1954269,1.164043,5.6585714
4.258,2.472,1.2087968,1.1606584,5.6486546,1.1978398,1.164096,5.6567238
4.259,2.473,1.2111052,1.1606271,5.6468074,1.2002527,1.164149,5.6548762
4.26,2.474,1.2134136,1.1605958,5.6449602,1.2026656,1.164202,5.6530286
4.261,2.475,1.215722,1.1605645,5.643113,1.2050785,1.164255,5.651181
4.262,2.476,1.2180304,1.1605332,5.6412658,1.2074914,1.164308,5.6493334
4.263,2.477,1.2203388,1.1605019,5.6394186,1.2099043,1.164361,5.6474858
4.264,2.478,1.2226472,1.1604706,5.6375714,1.2123172,1.164414,5.6456382
4.265,2.479,1.2249556,1.1604393,5.6357242,1.2147301,1.164467,5.6437906
4.266,2.48,1.227264,1.160408,5.633877,1.217143,1.16452,5.641943
4.267,2.481,1.2295684,1.1606939,5.6322627,1.2193458,1.1647691,5.640251
4.268,2.482,1.2318728,1.1609798,5.6306484,1.2215486,1.1650182,5.638559
4.269,2.483,1.2341772,1.1612657,5.6290341,1.2237514,1.1652673,5.636867
4.27,2.484,1.2364816,1.1615516,5.6274198,1.2259542,1.1655164,5.635175
4.271,2.485,1.238786,1.1618375,5.6258055,1.228157,1.1657655,5.633483
4.272,2.486,1.2410904,1.1621234,5.6241912,1.2303598,1.1660146,5.631791
4.273,2.487,1.2433948,1.1624093,5.6225769,1.2325626,1.1662637,5.630099
4.274,2.488,1.2456992,1.1626952,5.6209626,1.2347654,1.1665128,5.628407
4.275,2.489,1.2480036,1.1629811,5.6193483,1.2369682,1.1667619,5.626715
4.276,2.49,1.250308,1.163267,5.617734,1.239171,1.167011,5.625023
4.277,2.491,1.2525211,1.1638151,5.6162229,1.2413311,1.1673806,5.6234282
4.278,2.492,1.2547342,1.1643632,5.6147118,1.2434912,1.1677502,5.6218334
4.279,2.493,1.2569473,1.1649113,5.6132007,1.2456513,1.1681198,5.6202386
4.28,2.494,1.2591604,1.1654594,5.6116896,1.2478114,1.1684894,5.6186438
4.281,2.495,1.2613735,1.1660075,5.6101785,1.2499715,1.168859,5.617049
4.282,2.496,1.2635866,1.1665556,5.6086674,1.2521316,1.1692286,5.6154542
4.283,2.497,1.2657997,1.1671037,5.6071563,1.2542917,1.1695982,5.6138594
4.284,2.498,1.2680128,1.1676518,5.6056452,1.2564518,1.1699678,5.6122646
4.285,2.499,1.2702259,1.1681999,5.6041341,1.2586119,1.1703374,5.6106698
4.286,2.5,1.272439,1.168748,5.602623,1.260772,1.170707,5.609075
4.287,2.501,1.2746786,1.1694055,5.601224,1.2630214,1.17125,5.6077656
4.288,2.502,1.2769182,1.170063,5.599825,1.2652708,1.171793,5.6064562
4.289,2.503,1.2791578,1.1707205,5.598426,1.2675202,1.172336,5.6051468
4.29,2.504,1.2813974,1.171378,5.597027,1.2697696,1.172879,5.6038374
4.291,2.505,1.283637,1.1720355,5.595628,1.272019,1.173422,5.602528
4.292,2.506,1.2858766,1.172693,5.594229,1.2742684,1.173965,5.6012186
4.293,2.507,1.2881162,1.1733505,5.59283,1.2765178,1.174508,5.5999092
4.294,2.508,1.2903558,1.174008,5.591431,1.2787672,1.175051,5.5985998
4.295,2.509,1.2925954,1.1746655,5.590032,1.2810166,1.175594,5.5972904
4.296,2.51,1.294835,1.175323,5.588633,1.283266,1.176137,5.595981
4.297,2.511,1.2971301,1.1761256,5.5873438,1.2855524,1.1767959,5.5946764
4.298,2.512,1.2994252,1.1769282,5.5860546,1.2878388,1.1774548,5.5933718
4.299,2.513,1.3017203,1.1777308,5.5847654,1.2901252,1.1781137,5.5920672
4.3,2.514,1.3040154,1.1785334,5.5834762,1.2924116,1.1787726,5.5907626
4.301,2.515,1.3063105,1.179336,5.582187,1.294698,1.1794315,5.589458
4.302,2.516,1.3086056,1.1801386,5.5808978,1.2969844,1.1800904,5.5881534
4.303,2.517,1.3109007,1.1809412,5.5796086,1.2992708,1.1807493,5.5868488
4.304,2.518,1.3131958,1.1817438,5.5783194,1.3015572,1.1814082,5.5855442
4.305,2.519,1.3154909,1.1825464,5.5770302,1.3038436,1.1820671,5.5842396
4.306,2.52,1.317786,1.183349,5.575741,1.30613,1.182726,5.582935
4.307,2.521,1.32026,1.1841861,5.5744164,1.3085949,1.183499,5.5815903
4.308,2.522,1.322734,1.1850232,5.5730918,1.3110598,1.184272,5.5802456
4.309,2.523,1.325208,1.1858603,5.5717672,1.3135247,1.185045,5.5789009
4.31,2.524,1.327682,1.1866974,5.5704426,1.3159896,1.185818,5.5775562
4.311,2.525,1.330156,1.1875345,5.569118,1.3184545,1.186591,5.5762115
4.312,2.526,1.33263,1.1883716,5.5677934,1.3209194,1.187364,5.5748668
4.313,2.527,1.335104,1.1892087,5.5664688,1.3233843,1.188137,5.5735221
4.314,2.528,1.337578,1.1900458,5.5651442,1.3258492,1.18891,5.5721774
4.315,2.529,1.340052,1.1908829,5.5638196,1.3283141,1.189683,5.5708327
4.316,2.53,1.342526,1.19172,5.562495,1.330779,1.190456,5.569488
4.317,2.531,1.3452166,1.1922129,5.5610273,1.3334518,1.1910532,5.5680139
4.318,2.532,1.3479072,1.1927058,5.5595596,1.3361246,1.1916504,5.5665398
4.319,2.533,1.3505978,1.1931987,5.5580919,1.3387974,1.1922476,5.5650657
4.32,2.534,1.3532884,1.1936916,5.5566242,1.3414702,1.1928448,5.5635916
4.321,2.535,1.355979,1.1941845,5.5551565,1.344143,1.193442,5.5621175
4.322,2.536,1.3586696,1.1946774,5.5536888,1.3468158,1.1940392,5.5606434
4.323,2.537,1.3613602,1.1951703,5.5522211,1.3494886,1.1946364,5.5591693
4.324,2.538,1.3640508,1.1956632,5.5507534,1.3521614,1.1952336,5.5576952
4.325,2.539,1.3667414,1.1961561,5.5492857,1.3548342,1.1958308,5.5562211
4.326,2.54,1.369432,1.196649,5.547818,1.357507,1.196428,5.554747
4.327,2.541,1.3722196,1.1968148,5.5462263,1.3603322,1.1966873,5.5532695
4.328,2.542,1.3750072,1.1969806,5.5446346,1.3631574,1.1969466,5.551792
4.329,2.543,1.3777948,1.1971464,5.5430429,1.3659826,1.1972059,5.5503145
