Frame,,,Time,X1,Y1,Z1,X2,Y2,Z2
338,5.17,5.166,3.38,2.770493,1.240866,3.893924,2.769187,1.248841,3.905375
339,5.18,5.176,3.39,2.771336,1.242812,3.862895,2.771047,1.249752,3.875018
340,5.19,5.186,3.4,2.771844,1.247949,3.832939,2.772734,1.253245,3.845912
341,5.2,5.196,3.41,2.771875,1.256383,3.803345,2.773276,1.259614,3.816807
342,5.21,5.206,3.42,2.769569,1.266276,3.772887,2.771873,1.266009,3.786375
343,5.22,5.216,3.43,2.766335,1.270707,3.740749,2.769121,1.271217,3.753982
344,5.23,5.226,3.44,2.76669,1.269565,3.704383,2.768551,1.271213,3.718516
345,5.24,5.236,3.45,2.770598,1.266943,3.667935,2.768242,1.270706,3.682275
346,5.25,5.246,3.46,2.773234,1.266666,3.632457,2.775482,1.271234,3.644728
347,5.26,5.256,3.47,2.771111,1.268794,3.598981,2.775021,1.272942,3.611084
348,5.27,5.266,3.48,2.765448,1.273316,3.568288,2.771525,1.276128,3.580076
349,5.28,5.276,3.49,2.7575,1.279239,3.538703,2.765469,1.281108,3.550264
350,5.29,5.286,3.5,2.748132,1.28716,3.510581,2.756598,1.287999,3.521129
351,5.3,5.296,3.51,2.738222,1.296084,3.482293,2.746922,1.295316,3.492815
352,5.31,5.306,3.52,2.728484,1.30266,3.453401,2.737153,1.301067,3.461162
353,5.32,5.316,3.53,2.720153,1.304981,3.415313,2.727796,1.305254,3.426891
354,5.33,5.326,3.54,2.712766,1.306695,3.379439,2.719471,1.307932,3.391238
355,5.34,5.336,3.55,2.704351,1.308087,3.345603,2.711536,1.309855,3.357016
356,5.35,5.346,3.56,2.695682,1.31113,3.313925,2.701922,1.312934,3.325809
357,5.36,5.356,3.57,2.683109,1.317451,3.286241,2.689677,1.317907,3.297481
358,5.37,5.366,3.58,2.671451,1.324228,3.25884,2.677943,1.323941,3.270312
359,5.38,5.376,3.59,2.659268,1.332514,3.232602,2.666766,1.331594,3.243855
360,5.39,5.386,3.6,2.646851,1.34344,3.206636,2.655469,1.341429,3.217392
361,5.4,5.396,3.61,2.633901,1.354566,3.179035,2.642518,1.351376,3.189754
